district,disaster_type,district_avg_deaths
"Panthal, Jammu-Srinagar National Highway, Between Kashmir And The Rest Of The Country",Landslide,0.0
Papum Pare,Landslide,14.5
Paradeep,Cyclone,65.0
Paradip,Cyclone,3388.3333333333335
"Parimal Underpass Near Juta Bazaar, Ahmedabad, Gujrat State",Landslide,5.0
"Parmandal, Jammu",Landslide,1.0
Parsad On Nh-8,Landslide,0.0
"Parsik Tunnel Between Thane And Kalyan Railway Stations, India",Landslide,0.0
"Parsik/ Nutan Tunnel On Central Rail, Near Diva, Mumbai, India",Landslide,0.0
Pasighat,Flood,30.0
"Patan, Baramulla District",Landslide,1.0
"Patlot-Aghora Road, Almora District",Landslide,1.0
Patna,Flood,200.0
Pauri District Of Uttarakhand,Landslide,14.0
Pauri Garhwal,Landslide,22.0
"Pauri-Safdarkhal Road, Blocked At Khundadhar",Landslide,0.0
"Peermade(Pä«Rmed), Idukki District, Kerala",Landslide,0.0
"Pernem, Goa",Landslide,0.0
"Peruvai-Kadengodlu Rd(?) Between Vittal And Manila(Mani?), Bantwal Tuluk, Karnataka",Landslide,0.0
"Phagutar Near Mahanadi, 12Km From Kurseong, Siliguri District, Darjeeling",Landslide,1.0
"Phase-Iii, Sector 5, New Shimla",Landslide,0.0
"Phc Cansaulim, Goa, India",Landslide,0.0
Phek,Landslide,16.5
"Phek, Manipur",Landslide,0.0
Phesama,Landslide,0.0
Phesama Village,Landslide,0.0
Phesema Area At National Highway 39,Landslide,1.0
Phulbani,Flood,45.0
Phullenâ€™S Main Road,Landslide,0.0
Phungyar Road,Landslide,0.0
"Phyang Village, Leh, Ladakh, Jammu And Kashmir",Landslide,0.0
Pilgao-Narvem,Landslide,0.0
"Pithauragadh, Uttarakhand",Landslide,7.0
Pithoragarh,Landslide,88.42857142857143
Pithoragarh District,Landslide,0.0
"Pithoragarh District, Uttarakhand",Landslide,2.0
"Pithoragarh-Ghatiabgarh Road, Uttarakhand",Landslide,0.0
"Piyali Phukan Nagar, Guwahati, India",Landslide,1.0
"Police Cid Complex(?), Shillong, Meghalaya",Landslide,1.0
Pomendi Cutting Near Ratnagiri,Landslide,0.0
"Pomendi Hill(?), Goa-Mumbai Konkan Railway, Both Sides Of Ratnagiri, Maharashtra",Landslide,0.0
Pondicherry,Cyclone,28.0
"Ponsuli, Goa",Landslide,0.0
"Poochapra(?), Near Thodupuzha, Kattappana, Kerala",Landslide,2.0
Poonch,Landslide,9.5
Poonch District,Landslide,1.0
Porbandar,Cyclone,20.0
"Portions Of Nh 39, Connectin Manipur With Assam Via Nagaland",Landslide,0.0
"Poshiana, 27 Km Point Of Road From Bafliaz",Landslide,0.0
"Press Colony, Near Taradevi, Himachal Pradesh",Landslide,0.0
"Pub Sarania Hill, South Sarania, Guwahati, Assam, India",Landslide,1.0
"Pulbhal(?)-Solan Rd, Himachal Pradesh",Landslide,0.0
Pune,Flood,65.0
"Purba Simna, Tripura",Landslide,1.0
Puri,Cyclone,410.0
Purnia,Flood,145.0
Putupadal Gram Panchayat In Nuagada Block,Landslide,0.0
"Quaritok, Uttarkashi, Uttarakhand",Landslide,0.0
Rabale,Landslide,2.0
Rahni,Landslide,1.0
Raichur,Flood,55.0
"Raigad District, Maharashtra",Landslide,0.0
"Raigad Fort, Raigad Fort Natural Reserve, Maharashtra, India",Landslide,1.0
"Rail Line Between Mulanthuruthy And Piravom Near Mulanthruth, Kerala",Landslide,0.0
"Railroad Between Chimidipalli And Borra Caves Stations, Andhra Pradesh",Landslide,0.0
Rails Between Amdalli(?) And Near Thodor(Todur) Stations Bordering Ankola And Karwar Talukas In Uttar Kanara District Of Neighbouring Karnataka,Landslide,1.0
"Rails Between Jatinga And Longrangjao(?), Assam",Landslide,0.0
"Rails Between Mahur And Wadringdisa(?), Assam",Landslide,0.0
"Railway Between Koraput And Rayagada In Odisha, India",Landslide,0.0
Railway Tracks Between Dumriput And Damanjodi,Landslide,0.0
"Railway Tunnel A Few Kilometres From The Haridwar Railway Station, Between Haridwar And Dehradun, Uttarakhand, India",Landslide,0.0
"Raj Bhavan Guwahati, Assam",Landslide,0.0
Rajahmundry,Flood,99.6
Rajapur-Vaibhavwadi Section Of The Konkan Railway,Landslide,0.0
"Rajeev Nagar(?) Or Narayan Nagar, Asalfa Village, Between Ghatkopar And Saki Naka Area, Somewhere Near Lal Bahadur Shastri, Andheri Suburb. Mumbai Urban Center,",Landslide,1.0
"Rajgarh-Habban Road, Himachal Pradesh",Landslide,0.0
Rajouri,Landslide,20.0
Rakh Batla Belt In Udhampur,Landslide,2.0
Rakha Jaganoo,Landslide,5.0
Ramanathapuram,Cyclone,170.5
Ramban,Landslide,21.75
Ramban District,Landslide,0.0
Ramban District Of Jammu And Kashmir,Landslide,2.0
"Ramban District, Srinagar-Jammu Highway (Khooni Nallah, Higni And Panthal)",Landslide,0.0
"Ramban, Kashmir",Landslide,0.0
"Rambara District, Uttarakhand",Landslide,13.0
"Ramchandi , Hailakandi District, Assam, India",Landslide,1.0
Ramnagar Railway Station,Landslide,0.0
Ramsoo Area Of Ramban District,Landslide,0.0
Ramsu,Landslide,2.0
"Ranachatti(?), On Road To Yamunotri",Landslide,0.0
"Ranachatti(?), Route To Yamunotri, Garwhal Division, Uttarakhand",Landslide,0.0
"Rangiabong (Jorbungalow), Darjeeling, West Bengal",Landslide,6.0
Rangpo,Landslide,0.0
Ratacherra,Landslide,0.0
"Ratacherra Village Along The Nh-44 Connecting To Barak Valley In Assam And Tripura, Meghalaya, Mizoramon",Landslide,4.0
Ratnagiri,Cyclone,32.0
Ratnagiri,Landslide,19.0
Rayagada,Flood,85.0
"Rayagada, Odisha",Landslide,0.0
Reasi,Landslide,0.0
"Reasi District, Jammu And Kashmir",Landslide,1.0
"Reasi, Kashmir",Landslide,1.0
Rengpeth Village,Landslide,0.0
"Reshi Mohalla, Tangmarg",Landslide,0.0
"Rimbik, Darjeeling, West Bengal State, India",Landslide,3.0
Rishikesh- Gangotri National Highway In Maneri Area Of Uttarkashi District,Landslide,0.0
"Rishikesh-Badrinath Hwy., Near Sirobgarh(Sirobagad), Rudraprayag District, Uttarakhand",Landslide,0.0
Rishikesh-Badrinath National Highway Near Joshimath,Landslide,0.0
"Rishikesh-Badrinath National Highway To Rudraprayag, Chamoli, And Badrinath, Uttarakhand",Landslide,0.0
"Rishikesh-Gangotri National Highway Near Mari Sainji Village, Uttarkashi, Uttarakhand",Landslide,0.0
"Rishikesh-Joshimath-Mana Road, Uttarakhand",Landslide,0.0
"Rishikesh-Kedarnath National Highway, Sirobagad",Landslide,0.0
"Rishikesh-Uttarkashi Route, Uttarakhand",Landslide,0.0
"Road Between Haflong And Lanka, Assam",Landslide,0.0
"Road Between Halfong And Redzol(?) Or Silchar, Assam",Landslide,0.0
"Road Between Rajouri(Rajauri) And Poonch(Punch), Jammu And Kashmir",Landslide,0.0
"Road Between Srinagar And Muzaffarabad Near Kaman Post In Baramulla District, Kashmir",Landslide,0.0
"Road From Other Districts To Hawai(Tawai?) Which Is  On Lojit River, Near Hayuliang,  Anjaw District, Arunachal Pradesh",Landslide,0.0
"Road From Pinjore(Pinjaur), Haryana To Nalagarh, Himachal Pradesh",Landslide,0.0
"Road Leading To Patala Ganga And The Ropeway In Srisailam, Andhra Pradesh, India",Landslide,0.0
"Road Near Manali, Kullu",Landslide,0.0
"Road Near Saverikadu Village(?), Between Palani And Kodaikanal, Tamil Nadu Province",Landslide,0.0
Road Near Tipri To Kedarnath,Landslide,0.0
"Road To Badrinath Shrine, Uttarakhand",Landslide,0.0
"Road To Chopal, Himachal Pradesh",Landslide,0.0
"Road To Manali, Himachal Pradesh",Landslide,0.0
"Road To Oting Near Longlam Village, 13 Km From Tizit Subdivision, Mon District, Nagaland",Landslide,0.0
"Road To Sangla And Bhaba And Sorang(?) Valleys, Kinnaur, Himachal Pradesh",Landslide,0.0
"Road To Sangla Valley, Near Kupa Village, Kinnaur District, Himachal Pradesh",Landslide,0.0
"Road To Shivpur(Shivpuri), Pauri Garhwal District, Uttarakhand",Landslide,0.0
"Road To Yamunotri Shrine, Uttarakashi",Landslide,0.0
"Roads Above Pithoragarh, Uttranchal",Landslide,0.0
"Roads Around Uttarkashi, Uttarakhand",Landslide,0.0
"Roads Between Jubbal And Rohru, Shimla, Himachal Pradesh",Landslide,0.0
"Roads Between Sunnu Pal And Chail, Himachal Pradesh",Landslide,0.0
"Roads Between Tamei(Tamma?), Kangpokpi And Chalwa, Manipur",Landslide,0.0
Roads From Manali To Rohtang Pass,Landslide,0.0
"Roads To Gangotri, Uttarakhand",Landslide,0.0
"Roads To Manali, Himachal Pradesh",Landslide,0.0
"Roads To Rani Khet(Ranikhet) And Jolle Kote(?), Uttarakhand",Landslide,0.0
"Rohru,Theog And Chopal Sub-Divisions, Shimla, Himachal Pradesh",Landslide,38.0
"Rolep, South Sikkim( Mapping To Rhenock 12 Miles From Rolep)",Landslide,7.0
Rongpur Village Under Bhairabhnagar Panchayat In Karimganj District,Landslide,2.0
"Rongthragittim Songittal Village, Near Sibbari, South Garo Hills District, Meghalaya, India",Landslide,0.0
Rudraprayag,Landslide,107.9090909090909
"Rudraprayag, Rishikesh-Badrinath Hwy",Landslide,0.0
"Rudraprayag, Uttarakhand",Landslide,19.0
"Rudraprayag-Gaurikund Road, Uttarakhand",Landslide,0.0
Ruldu Bhatta Locality Near Lakkar Bazaar,Landslide,0.0
Rumtse Along The Manali-Leh Highwa,Landslide,0.0
"Ruzapfu Valley, Kikruma Village, Phek District, Nagaland",Landslide,0.0
Sabroom,Landslide,3.0
"Sabu(Saboo) Village, Leh, Ladakh, Jammu And Kashmir",Landslide,11.0
Saddal Village In Pancheri Block,Landslide,41.0
Sagar Island,Cyclone,22.5
Saharsa,Flood,505.0
"Sahong, Tabu And Pani Village Under Tadubi Police Station Of Senapati District, Nh-39",Landslide,0.0
Sailam Village,Landslide,1.0
"Sainath Stone Quarry, Rikunda Village, Turbhe, Navi Mumbai, Maharashtra",Landslide,3.0
"Sainj, Rishikesh-Gangotri National Highway",Landslide,0.0
"Saki Naka In Andheri Area, Mumbai Suburb/Slum (Sakinaka Is Around 23 Miles (35 Kilometers) From Downtown Mumbai)",Landslide,12.0
Salem - Yercaud Ghat Road,Landslide,1.0
Samastipur,Flood,92.0
"Samathang, Sikkim",Landslide,5.0
Sambalpur,Flood,55.0
"Samkot Village Of Pithoragarhi, Uttarakhand",Landslide,1.0
Sanasar Area Of District Ramban,Landslide,0.0
Sandrathi Village Of Munsiyari Block Of Pithoragarh District,Landslide,1.0
Sanjeevinagar Area,Landslide,4.0
"Sanjiote Near Poonch, Kashmir",Landslide,3.0
Saran,Flood,88.0
"Saraswati Shishu Mandir School(?), Sumgarh(Sumgad) Village(?), Bageshwar-Pindari Glacier Rd 45 Km From Bageshwar, Kapkot, Bageshwar, Uttarakhand",Landslide,18.0
"Satgarakul Village, Karimganj, Assam State",Landslide,7.0
Satpuli-Kanskhet Road In Pauri Garhwal District,Landslide,0.0
Saurashtra,Cyclone,35.0
Sawai Madhopur,Flood,38.0
Second Hairpin Bend Near Varattupallam,Landslide,0.0
Senam,Landslide,0.0
Senapati,Landslide,21.0
Serchhip,Landslide,18.0
Seri In Ramban Along Jammu-Srinagar National Highway,Landslide,1.0
"Seri, Ramban",Landslide,0.0
Several Roads In Uttarakhand,Landslide,10.0
"Sevoke, 20Km From Siliguri, North Eastern, India (Highway Nh31A:Coronation Bridge To The Sevoke Police Outpost Section Blocked)",Landslide,0.0
"Sewri(?), New Shivaji Nagar, Mumbai",Landslide,0.0
"Shakthinagar, Mangalore",Landslide,0.0
"Shakti Nagar, New Delhi",Landslide,1.0
"Shanna(?), Jammu Province",Landslide,1.0
"Shantinagar, Ponda",Landslide,0.0
"Shatani Nallah, Ramban District",Landslide,0.0
"Shayoung Ward(?), Longleng, Nagaland",Landslide,0.0
"Sheroora-Subardhar Village,15 Km From Bhadarwah Town",Landslide,2.0
"Shetani Nallah(?), Jammu-Srinagar National Highway, Jammu And Kashmir",Landslide,0.0
"Shetidhar Peak, Himachal Pradesh",Landslide,3.0
"Shillong, Meghalaya, India",Landslide,2.0
Shillong-Jowai(Jwai)-Badarpur National Highway(Nh 44) At Sunapur Village In Jaintia Hills District,Landslide,0.0
Shimla,Landslide,15.0
"Shimla District, Himachal Pradesh",Landslide,0.0
Shimla-Kalka National Highway Near Shoghi,Landslide,0.0
"Shimla-Nahan Highway, Dosarka, Himachal Pradesh",Landslide,0.0
Shirpora,Landslide,0.0
"Shivpuri, Rishikesh-Badrinath Hwy",Landslide,0.0
Shopian District,Landslide,0.0
Shravasti,Flood,75.0
"Silchar-Haflong Rd., At Reko(Rekha )(?), Near Harangajao, Barail Hills, Assam",Landslide,0.0
"Simhagiri Colony, Azeemabad, Pedagantyada, Visakhapatnam, Andhra Pradesh, India",Landslide,2.0
"Singamari, Darhelling, West Bengal",Landslide,0.0
"Singtam-Mangan Rd, Sikkim",Landslide,0.0
"Sirmaur District, Himachal Pradesh",Landslide,0.0
Sirobagad Area Of Rudraprayag,Landslide,0.0
"Sirobagad, Rishikesh-Badrinath Highway",Landslide,0.0
"Sirobhgarh Bend, Srinagar-Rudraprayag Highway, Uttarakhand, Northern India",Landslide,0.0
Sitamarhi,Flood,168.0
"Siund - Neuli Rd, Neuli Shanshar, Himachal Pradesh 175123",Landslide,0.0
Solan,Landslide,35.0
Solan Roads,Landslide,0.0
Solapur,Flood,45.0
"Sombaria, West Sikkim",Landslide,2.0
"Sonabai Niwas(?), Kalwa, Mumbai",Landslide,10.0
"Sonachirra, Karimganj District, Assam, India",Landslide,5.0
"Sonaighuli Area Near Kahilipara, Guwahati City, Assam",Landslide,1.0
Sonepur,Flood,40.0
"Sonprayag, Uttarakhand",Landslide,3.0
"Sonrigund Malangpora, Pulwama",Landslide,1.0
South 24 Parganas,Flood,48.0
South Of Kashmir,Landslide,0.0
South West Garo Hills,Landslide,6.0
Spiti,Landslide,15.0
"Spiti Valley, Himachal Pradesh",Landslide,1.0
"Srawan Village(?), Batote-Doda-Kishtwar Road, Kishtwar District",Landslide,1.0
Srikakulam,Cyclone,112.25
Srikakulam Coast,Cyclone,18.0
Srinagar,Flood,277.0
Srinagar Muzafarabad Road,Landslide,0.0
"Srinagar-Garhwal Area Of Pauri District, Uttarakhand, Uttranchal",Landslide,1.0
"Srinagar-Jammu Highway, Ramban District",Landslide,0.0
Srinagar-Jammu National Highway,Landslide,0.0
"Srinagar-Jammu Natl. Hwy., At Digdole(Digdol)(9 Km South Of Panthal), Srinagar, Jammu And Kashmir",Landslide,0.0
"Srinagar-Leh Highway In Shutkady Near Sonamarg, Ganderbal District, Jammu And Kashmir, India",Landslide,0.0
"Srinagar-Leh National Highway, Captain Mode, Kashmir Valley",Landslide,0.0
Srinagar-Muzaffarabad Road Near Dankhan Area In Baramulla,Landslide,0.0
"Srinigar-Jammu Highway, Gangroo, Udhampur",Landslide,0.0
Srinigar-Ladakh Highway,Landslide,0.0
"St Inez Construction Site, Panaji",Landslide,0.0
"St Mary'S Hill, 3 Km From Kurseong, West Bengal",Landslide,4.0
Subarnapur,Flood,48.0
Sukhiapokhari,Landslide,1.0
Sukhidhang Area Of Champawat District In Uttarakhand,Landslide,14.0
"Sunali, Uttarakhand",Landslide,0.0
Sundarbans,Cyclone,149.0
Supaul,Flood,253.25
Surankote In Jammu And Kashmir,Landslide,0.0
Surat,Cyclone,28.0
Surat,Flood,173.0
Surjan Village In Bani Mountainous Belt In Kathua District (,Landslide,0.0
"Taithu Village, Churanchandpur District, Mizoram, Manipur",Landslide,0.0
Talakebail In Vajralli Gram Panchayat In Yellapur,Landslide,0.0
"Taloda, Nandurbar, Maharashtra",Landslide,8.0
Tamabong Village In Sikkim State,Landslide,5.0
Tamei Constituency In Tamenlong District,Landslide,0.0
"Tamei, Tamenglong District On Imphal-Tamenglong (It) Road",Landslide,0.0
Tamenglong,Landslide,13.666666666666666
Tamenglong Ward No-Iv,Landslide,0.0
"Tamenglong, Manipur",Landslide,0.0
"Tamenglong- Khongsang Road, Manipur",Landslide,0.0
"Tanakupur-Pitoragarh Highway, Kumaon(Kumaun) Region, Uttarakhand",Landslide,0.0
"Tapri Near Rekong Peo, Kinnaur District",Landslide,0.0
"Tawang, Arunachal Pradesh",Landslide,17.0
"Tawari Bridge, Chamba District Of Himachal Pradesh",Landslide,2.0
"Techahan Ward, Mon, Nagaland, India",Landslide,0.0
"Tefana, Uttarakhand",Landslide,0.0
Tehri,Flood,68.0
Tehri,Landslide,36.75
"Thadiyambadu Near Painavu, Kerala",Landslide,2.0
"Thampanoor, Thiruvananthapuram, Kerala",Landslide,0.0
Thana Village,Landslide,0.0
"Thang Bridge 10 Km From Turtuk, Leh, Jammu And Kashmir",Landslide,13.0
Thanmandi Area Of Rajouri,Landslide,13.0
"Tharon(?) And Langol Tarung Villages, Thangmeiband Constituency, Imphal, Manipur",Landslide,0.0
Thatichetlapalem,Landslide,4.0
The 10-Storeyed Hill View Building The 10-Storeyed Hill View Building,Landslide,1.0
The Cave Shrine Located In Trikuta Hills Of Reasi District,Landslide,0.0
"The Chardham Yatra, Shrines Of Badrinath, Kedarnath, Gangotri, And Yamunotri",Landslide,0.0
"The Leh-Manali Hwy, Himachal Pradesh",Landslide,0.0
"The Rishikesh-Gangotri National Highway, Sainj",Landslide,0.0
The Sikh Shrine In Manikaran,Landslide,8.0
"Thenpara, Kerala-Tamil Nadu Inter-State Highway, Nadukani Ghat Road Connecting Nilambur With Gudallur In Tamilnadu",Landslide,0.0
"Theog-Kotkhai-Jubbal Road, Himachal Pradesh",Landslide,0.0
"Thillong Village, Doyang Along State Highway 1, Wokha To Merapani Road",Landslide,0.0
"Thirpak, Uttarakhand",Landslide,0.0
Thiruvananthapuram,Landslide,40.0
"Thiruvankulam, Kerala",Landslide,0.0
"Thodpuzha(Thodupuzha) Municipality, Idukki, Kerala",Landslide,0.0
Three Graveyards Within Aizawl,Landslide,0.0
Thrissur,Flood,95.0
"Tikri Village(?) Near Loc, Uri Sector, Baramulla District, Jammu And Kashmir",Landslide,3.0
Tindharia Railway Maintenance Shed,Landslide,0.0
Tinsukia,Flood,48.0
"Tirah Lines Which Is Almost 5 Kms From Dharamshala, Himachal Pradesh",Landslide,0.0
"Tirumala, Andhra Pradesh",Landslide,0.0
Tongseng,Landslide,0.0
"Tottilagundi, Dakshina Kannada District",Landslide,4.0
Tousem,Landslide,0.0
"Toy Train Rails Between Siliguri And Darjeeling, West Bengal",Landslide,0.0
"Trail Between Adh Kuwari(Adhkuwari) Temple And Shri Mata Vaishno Devi Cave Shrine, Trikuta Hills(?), Near Katra, Reasi, Jammu And Kashmir",Landslide,0.0
Tripi (Tirpai?) Road Of Upper Gumfa Area In Kalimpong,Landslide,3.0
Tsarap River,Landslide,0.0
"Tuensang, Nagaland",Landslide,0.0
"Tuensang-Kohima Rd, 3 Km Outside Tuensang, Nagaland",Landslide,0.0
"Tuensang-Shamatore(Sampurre) Rd, Nagaland",Landslide,0.0
"Tuikual 'C', Aizawl, Mizoram",Landslide,1.0
"Tuitung Village, Khengjoi",Landslide,0.0
Tunnel Number 16 On The Jammu-Udhampur Section,Landslide,0.0
Tura,Landslide,8.0
Tura Civil Hospital,Landslide,0.0
"Tusom, Manipur",Landslide,0.0
"Tyakshi(?) Village Near Turtuk(Nubra Valley) On Leh-Saichen(Siachan) Rd, Jammu And Kashmir",Landslide,0.0
Type-Iv Colony Of Seppa In East Kameng,Landslide,3.0
Uhl River In Kamand Area,Landslide,0.0
Ukhrul,Landslide,28.0
Ukhrul Nh 201-Jessami Road,Landslide,0.0
Ukhrul Town Circular Road From Rayotang To Viewland Zone Ii,Landslide,0.0
"Umling, Meghalaya 793102, India",Landslide,0.0
Una,Cyclone,22.0
Under The Third And Fourth Padil-Bajal Under-Bridge Railway Tracks,Landslide,0.0
Upper Kodaikanal Road,Landslide,0.0
"Upper Shimla, Himachal Pradesh",Landslide,0.0
"Upper Subansiri District, Arunanchal Pradesh",Landslide,0.0
Uri,Landslide,0.0
"Uri, Baramulla District",Landslide,4.0
"Urni, Satluj River, Kinnaur District, Himachal Pradesh, India",Landslide,0.0
Uttar Pradesh,Landslide,6.0
Uttarakhand,Landslide,0.0
Uttarakhand And The Uttar Pradesh,Landslide,11.0
Uttarkashi,Landslide,124.125
Uttarkashi District,Landslide,2.0
"Uttarkashi Town, Uttarakhand",Landslide,0.0
"Vadad-Hasol Village Near Rajapur In Ratnagiri District, Maharastra",Landslide,8.0
Vadodara,Flood,112.5
Vaishnodevi In Trikuta Hills Of Reasi District,Landslide,0.0
"Valiyasalai, Thiruvananthapuram, Kerala",Landslide,0.0
Valley Of Flowers Near Badrinath,Landslide,0.0
"Vamanapuram, Thiruvananthapuram District In The State Of Kerala",Landslide,1.0
"Vannappuram, Kerala,",Landslide,1.0
Varanasi,Flood,109.0
"Varunavat Mountain, Uttarkashi",Landslide,0.0
Vasco,Landslide,0.0
"Vazhavara, Idukki, Kerala, India",Landslide,2.0
"Vengola, Kerala",Landslide,2.0
Veraval,Cyclone,8.0
Vijaywada(Vijayawada),Landslide,4.0
"Village In Pangi Valley, Chamba District",Landslide,0.0
Village Mohechiwadi Under Karjat Taluka Of Raigad District,Landslide,5.0
"Villages Pilkha(?), Devali(?), And Balta(?), Avalbagh Block(?), Almora(Almorah) District, Uttarakhand",Landslide,24.0
"Villages Shapoo(?), Bazgo(?) And Wide Area Around Leh, Ladakh, Jammu And Kashmir",Landslide,234.0
Villages Surrounding The West Sikkim District Of,Landslide,16.0
"Villanchira, Near Neryamangalam",Landslide,0.0
Vip Road,Landslide,0.0
Vishakhapatnam,Cyclone,61.142857142857146
"Vishnuprayag, Joshimath",Landslide,0.0
Vizianagaram,Cyclone,50.0
"Vollant, Vasco, Behind The Ktc Bus Stand, Goa, India",Landslide,0.0
"Wadpora, Budgam Near Vidyala School",Landslide,0.0
"Walo Ward, Mon Town, Wokha District, Nagaland",Landslide,0.0
Warangal,Flood,151.0
Wayanad,Landslide,17.75
"Wayang, Khengjoi",Landslide,0.0
West Bengal,Cyclone,15.0
West Bengal Coast,Cyclone,23.0
West Garo Hills,Landslide,20.0
West Godavari,Flood,55.0
"West Kameng, Arunachal Pradesh",Landslide,12.0
West Siang,Landslide,15.0
Willong-Yangkhullen Stretch,Landslide,0.0
Yamnotri Highway,Landslide,0.0
Yamunotri,Landslide,0.0
Yamunotri Route,Landslide,0.0
Yanam,Cyclone,29.0
Yangkhullen-Tamphung Road Till Nagaland Border,Landslide,0.0
Yavatmal,Flood,12.0
"Yedakumeri, Bengaluru-Mangaluru Train",Landslide,0.0
"Zang(?), East Sikkim",Landslide,0.0
"Zembabawk, Aizawl",Landslide,1.0
Zero Near Kurseong,Landslide,0.0
Zojila Pass,Landslide,0.0
"Zojila, India (Srinagar-Kargil Road)",Landslide,1.0
Zunheboto District,Landslide,0.0
"Zunheboto, Nagaland",Landslide,0.0
"Zunheboto, Nagaland, India",Landslide,0.0
